doc_id,file_name,local_path,page_count,page_index,pdf_page,candidate_table_numbers,matched_table_numbers,candidate_count,matched_count,printed_page,page_role,visible_titles,visible_subentry,visible_section,contains_multiple_tables,contains_table_header,contains_table_body,confidence,warnings,candidate_mismatch,error
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,0,1,2 | 1 | 3,,3,0,,non_table,,,,False,False,False,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,1,2,2 | 1 | 3,,3,0,,non_table,,,,False,False,False,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,2,3,2 | 1 | 3,,3,0,3,contents_or_index,,,,False,False,False,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,3,4,2 | 1 | 3,,3,0,4,contents_or_index,,,CONTENTS—continued,False,False,False,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,4,5,1 | 2,1,2,1,5,continues,"Number of Males recorded at each Age in each State and Territory, at the Census of 3rd April, 1911",,,False,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,5,6,1 | 2,1 | 2,2,2,6,boundary_multiple_tables,"1.—NUMBER OF MALES RECORDED AT EACH AGE—continued. | 2.—NUMBER OF FEMALES RECORDED AT EACH AGE IN EACH STATE AND TERRITORY at the Census of 3rd April, 1911 (Exclusive of Full-blooded Aboriginals).",,,True,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,6,7,1 | 2,2,2,1,7,continues,2.—NUMBER OF FEMALES RECORDED AT EACH AGE—continued.,,,False,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,7,8,3 | 2 | 4,2 | 3,3,2,8,boundary_multiple_tables,"2.—NUMBER OF FEMALES RECORDED AT EACH AGE—continued. | 3.—NUMBER OF PERSONS RECORDED AT EACH AGE IN EACH STATE AND TERRITORY at the Census of 3rd April, 1911",,,True,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,8,9,3 | 2 | 4,3,3,1,9,continues,"Number of Persons recorded at each Age in each State and Territory, at the Census of 3rd April, 1911",continued,,False,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,9,10,4 | 3 | 5,3 | 4,3,2,10,boundary_multiple_tables,"3.—NUMBER OF PERSONS RECORDED AT EACH AGE—continued. | 4.—COMPARATIVE STATEMENT OF THE MALE POPULATION OF THE STATES OF THE COMMONWEALTH AS RECORDED at the Censuses of 1901 and 1911, Classified in Quinquennial Age Groups",,,True,True,True,1,,False,
